delta_x,delta_y,eps_proxy
2,-6,6.326920689331249
3,-6,6.259624174381087
4,-6,6.24143374821885
5,-6,5.400423148342522
6,-6,6.042339965954483
7,-6,5.1339098067902125
8,-6,4.466307372662244
9,-6,4.468503237937313
10,-6,6.167771691106559
11,-6,4.02262678406555
12,-6,6.193095518836655
13,-6,0.5199202523000086
14,-6,3.676068948834407
-14,-5,8.245395139800053
-13,-5,2.659523232559368
-12,-5,4.83687008311435
-11,-5,3.0065616649875184
-10,-5,5.223474523476672
-9,-5,3.6395302347361986
-8,-5,5.444623798485674
-7,-5,4.610171210389831
-6,-5,5.262416218678666
-5,-5,5.213653608270235
-4,-5,5.47642652594651
-3,-5,5.973795662696539
-2,-5,5.896487537296741
-1,-5,6.2855027235495555
0,-5,6.111652869786539
1,-5,6.117347876757599
2,-5,6.403815416011272
3,-5,5.8920969738242315
4,-5,5.884979239580031
5,-5,5.403218648013988
6,-5,5.124723015442619
7,-5,4.435386542671367
8,-5,5.607985943209845
9,-5,3.9099115260367814
10,-5,5.628063510595351
11,-5,4.542783502529583
12,-5,6.260487390867214
13,-5,5.760962875805699
14,-5,9.150565201094691
-14,-4,8.092308901344554
-13,-4,2.777515918190172
-12,-4,6.073419840631414
-11,-4,5.072130387339427
-10,-4,5.708553639820008
-9,-4,3.854529643136567
-8,-4,5.46601516962492
-7,-4,5.320730964162584
-6,-4,6.777818194156068
-5,-4,5.950133714236641
-4,-4,6.661268939159178
-3,-4,6.781076108345406
-2,-4,7.393462693975716
-1,-4,7.229768817531566
0,-4,7.090175581001365
1,-4,6.859592257101626
2,-4,6.864717811003093
3,-4,6.71828396733648
4,-4,6.7348727515602675
5,-4,5.750378956136605
6,-4,5.809156477621209
7,-4,5.751076667718455
8,-4,5.657656331728613
9,-4,5.129174610521824
10,-4,6.14235973532016
11,-4,3.914907013641584
12,-4,5.065540095003862
13,-4,4.204720532610455
14,-4,7.677465233522357
-14,-3,4.24973121366794
-13,-3,2.5481767392535035
-12,-3,5.07144256042802
-11,-3,3.7553205014398223
-10,-3,4.417186662749864
-9,-3,4.586331256557304
-8,-3,5.8018050721736465
-7,-3,5.63636453768723
-6,-3,6.825381832957965
-5,-3,5.768838304027806
-4,-3,6.3749884689574206
-3,-3,7.000828085742322
-2,-3,7.562860106662694
-1,-3,7.118678917939106
0,-3,7.077794572308213
1,-3,7.025097093147424
2,-3,7.174568839875177
3,-3,6.458856413016926
4,-3,6.565190979555334
5,-3,5.772598366018778
6,-3,6.533585367685482
7,-3,5.5441898699289585
8,-3,8.130389505762869
9,-3,8.825547819819999
10,-3,6.731126261553349
11,-3,3.843006165073409
12,-3,6.131889334013173
13,-3,2.626996070270689
14,-3,4.505232073508
-14,-2,8.667317867967366
-13,-2,1.711818793510798
-12,-2,6.719748472993826
-11,-2,4.367874584002028
-10,-2,6.361366561319648
-9,-2,5.1539275277569585
-8,-2,5.727471242283135
-7,-2,4.931690325134719
-6,-2,7.111651092458021
-5,-2,6.339931924542556
-4,-2,7.072574329085429
-3,-2,7.349857980119874
-2,-2,7.248545794065973
-1,-2,7.507628338966453
0,-2,7.305775019008645
1,-2,7.450825835952525
2,-2,7.6562648462550245
3,-2,7.154791235149167
4,-2,6.938074592701958
5,-2,6.306201314031647
6,-2,6.460022872031881
7,-2,6.2870717677831625
8,-2,10.601204880384955
9,-2,9.647371108497664
10,-2,7.559279169380447
11,-2,4.198423862888821
12,-2,4.361836951981711
13,-2,2.0454576628722654
14,-2,6.157921336337167
-14,-1,4.640188468502017
-13,-1,4.193044329467115
-12,-1,5.756782399076222
-11,-1,3.880395194743146
-10,-1,5.7073518395422855
-9,-1,4.16519274427057
-8,-1,5.734650789983979
-7,-1,4.954918103272592
-6,-1,6.183565412884406
-5,-1,6.047522064737716
-4,-1,7.045126854246033
-3,-1,7.154653656350677
