delta_x,delta_y,rate_pred_s
10,0,0.009185614284960656
11,0,0.005104912391333064
12,0,0.002858151541139837
13,0,0.0013534418482521098
14,0,0.0004162954442042031
-14,1,0.0006425868344199762
-13,1,0.0013148006227552843
-12,1,0.0026812634439915884
-11,1,0.004708164307714899
-10,1,0.008356296832829162
-9,1,0.014572353701231612
-8,1,0.023834627492052885
-7,1,0.03706227811734888
-6,1,0.059267200971404116
-5,1,0.09307829932148945
-4,1,0.14048163779002376
-3,1,0.19765400965361715
-2,1,0.27755740828558384
-1,1,0.27790030150002176
0,1,0.18865979147405518
1,1,0.2838638722072284
2,1,0.2767424918070212
3,1,0.20015644953509967
4,1,0.13639200449443803
5,1,0.0933268450789756
6,1,0.05916715484362965
7,1,0.038185711226229546
8,1,0.023985071393736297
9,1,0.014291196477646172
10,1,0.008004013813706537
11,1,0.004673999610283938
12,1,0.002544517325155384
13,1,0.0011659229397074282
14,1,0.0005085775530890965
-14,2,0.0003982395862754535
-13,2,0.000951809342024291
-12,2,0.002170991508841135
-11,2,0.004199030181874987
-10,2,0.008001208801219368
-9,2,0.012549415138217944
-8,2,0.019730326101384324
-7,2,0.03175925136902196
-6,2,0.050178865312505934
-5,2,0.07950797561053974
-4,2,0.11753170378008669
-3,2,0.16384347809391978
-2,2,0.22003556228222518
-1,2,0.27852205657246604
0,2,0.3140961429093828
1,2,0.274829417803934
2,2,0.22557173660713958
3,2,0.16798062292294239
4,2,0.11493671807394844
5,2,0.08025253461142576
6,2,0.05071048204151509
7,2,0.03486812278019294
8,2,0.02040050191443158
9,2,0.013013693955468626
10,2,0.007691132265157486
11,2,0.0047151741456411544
12,2,0.0025740049006514843
13,2,0.0012919451876514556
14,2,0.0004420805978172778
-14,3,0.00030864991202696586
-13,3,0.0008963883735954002
-12,3,0.001969814045149164
-11,3,0.0034904233327817374
-10,3,0.005950894401729402
-9,3,0.010793356395699644
-8,3,0.016987076853604097
-7,3,0.027555508484953216
-6,3,0.041534310471493835
-5,3,0.060675839805967
-4,3,0.08953532307353179
-3,3,0.12439741914996869
-2,3,0.16546174109818954
-1,3,0.19758561258873947
0,3,0.22810463034837866
1,3,0.19920710567192162
2,3,0.15955651607363405
3,3,0.12453134176107972
4,3,0.08955111885014712
5,3,0.061341531445283023
6,3,0.042334755135908356
7,3,0.02815456462381604
8,3,0.016662880544489226
9,3,0.010588431605637019
10,3,0.006750444684698985
11,3,0.0034510357850091097
12,3,0.002027653739696426
13,3,0.0012146039286799566
14,3,0.0003369723723332476
-14,4,0.00026303716190391555
-13,4,0.0008443073423635098
-12,4,0.0015227671545874322
-11,4,0.0030935404777923644
