delta_x,delta_y,T_geom_m2sr
5,6,0.0005842589239361186
6,6,0.0004473586588318032
7,6,0.00031856855819033144
8,6,0.00022850372530748507
9,6,0.00015762068815527346
10,6,0.00010275402886349852
11,6,7.678523430551546e-05
12,6,4.491083727621134e-05
13,6,2.3493318259884e-05
14,6,9.606047852419983e-06
-14,7,8.489390515040296e-06
-13,7,1.9689957803194474e-05
-12,7,3.268481220522471e-05
-11,7,5.5655309172580314e-05
-10,7,8.865546918137021e-05
-9,7,0.00012675669380377922
-8,7,0.00016823688043241964
-7,7,0.00024836284386788667
-6,7,0.0003203950867793371
-5,7,0.0004417785443574832
-4,7,0.0005606273885828928
-3,7,0.0006450927339251634
-2,7,0.0008003338504432689
-1,7,0.0008746349934912783
0,7,0.0009939622289050064
1,7,0.0009174652785716047
2,7,0.0007932927400497278
3,7,0.0006804134579612016
4,7,0.0005296224059216177
5,7,0.00041035882131231757
6,7,0.00031523434010965524
7,7,0.0002465492745506532
8,7,0.00018303450453605077
9,7,0.00013227256307315124
10,7,8.71997840965613e-05
11,7,5.90169792973291e-05
12,7,3.826889486063153e-05
13,7,1.8148131450946797e-05
14,7,6.557677627666197e-06
-14,8,5.640039201151876e-06
-13,8,1.558774213166023e-05
-12,8,2.840136225741733e-05
-11,8,4.623561816294893e-05
-10,8,6.553160262907765e-05
-9,8,9.53729008236884e-05
-8,8,0.00013800063195377479
-7,8,0.00017576045508607615
-6,8,0.0002444655835872291
-5,8,0.0002951757953115218
-4,8,0.00037444730581489443
-3,8,0.00045419083864017547
-2,8,0.0005239639495872322
-1,8,0.000599251279831097
0,8,0.0006590350152493353
1,8,0.0005933104148310995
2,8,0.0005426935292828944
3,8,0.0004600004740493193
4,8,0.00036907407717645804
5,8,0.00029683080256236936
6,8,0.00023782568947676615
7,8,0.0001706284770957849
8,8,0.00013188072787196657
9,8,9.124453817115648e-05
10,8,6.450378293270112e-05
11,8,4.20023887214066e-05
12,8,2.57207343428174e-05
13,8,1.826752489293148e-05
14,8,5.7927809507831865e-06
-14,9,5.263625672676912e-06
-13,9,1.164921829319315e-05
-12,9,1.8314074102540772e-05
-11,9,2.966592203659667e-05
-10,9,4.795097501916028e-05
-9,9,6.783613964775826e-05
-8,9,9.628745045196086e-05
-7,9,0.00012243515467889375
-6,9,0.0001661529990896214
-5,9,0.00020567182736273056
-4,9,0.00026042719971547444
-3,9,0.0003071747951261762
-2,9,0.00035409908922033866
-1,9,0.00038691288863200473
0,9,0.0004301503471619001
1,9,0.00041392336058483495
2,9,0.00036593431813908853
3,9,0.0003047008386159286
4,9,0.0002483309959082034
5,9,0.00021252819915931946
6,9,0.00016752329881427965
7,9,0.00012136485039486633
8,9,8.894379073013296e-05
9,9,6.296665974063356e-05
10,9,4.698733325397548e-05
11,9,3.231817836584996e-05
12,9,2.119908117870662e-05
13,9,1.0054518506843725e-05
14,9,5.1462084308424965e-06
-14,10,4.668718030558547e-06
-13,10,9.300777959561243e-06
-12,10,1.874600149008107e-05
-11,10,2.4181779400572823e-05
-10,10,3.509469331966084e-05
-9,10,4.569415326085058e-05
-8,10,6.55537281072936e-05
-7,10,8.712659368146618e-05
-6,10,0.00010261707074554812
-5,10,0.00013980363429924255
-4,10,0.00016206101118880058
-3,10,0.0001881159473988783
-2,10,0.00023319482840808317
-1,10,0.0002479912130638345
0,10,0.0002865858198966954
1,10,0.00024996832205890243
2,10,0.00021717502386805123
3,10,0.00019321944016197434
4,10,0.00016043906739979707
5,10,0.00014200374543723841
6,10,0.00010271053328217303
7,10,8.90268602872856e-05
8,10,6.788279371647171e-05
9,10,4.7294795945940774e-05
10,10,3.5675971090591e-05
11,10,2.409207666741336e-05
12,10,1.7689043130297225e-05
13,10,9.877581829981706e-06
14,10,4.0488638602123114e-06
-14,11,2.7531864423259975e-06
-13,11,7.342945992439798e-06
-12,11,1.184654989336535e-05
-11,11,1.8584534446904667e-05
-10,11,2.230059699523184e-05
-9,11,3.374431095882362e-05
-8,11,4.128379843154834e-05
-7,11,5.7034163601256914e-05
-6,11,7.578472286010251e-05
-5,11,8.390584179437926e-05
-4,11,0.00010757642114785625
-3,11,0.00013307586914718803
-2,11,0.00014397740026004868
-1,11,0.00015448856349200505
0,11,0.00017447443409805124
1,11,0.0001468696443296892
2,11,0.0001461837238077672
3,11,0.00012505380960618542
4,11,0.00010530398883252532
5,11,8.424536325959796e-05
6,11,7.498124924409023e-05
7,11,5.623377760783374e-05
8,11,4.5257109748106955e-05
9,11,3.147990093455175e-05
10,11,2.3895874190492016e-05
11,11,1.4092401259059425e-05
12,11,1.0973689675333639e-05
13,11,5.065050742009016e-06
14,11,3.4628744924504895e-06
-14,12,1.460092038583255e-06
-13,12,4.996671944919713e-06
