delta_x,delta_y,theta_mean_deg
-7,2,44.02389460565087
-6,2,39.949156179910105
-5,2,35.46822976201946
-4,2,30.666720160851167
-3,2,25.533826032976865
-2,2,20.585966902597697
-1,2,16.630095773210364
0,2,15.055935107033992
1,2,16.668257391113325
2,2,20.59549950805302
3,2,25.540163643394642
4,2,30.631012279720114
5,2,35.51712933655091
6,2,39.923508003797934
7,2,43.97730894424392
8,2,47.637807352041484
9,2,50.76058448068905
10,2,53.50658343193177
11,2,56.10122594176184
12,2,58.245846559779885
13,2,60.28414472733319
14,2,61.93704829416354
-14,3,62.36158086399446
-13,3,60.58236847570103
-12,3,58.67418604066711
-11,3,56.577750856383744
-10,3,54.22989952641057
-9,3,51.582572805891445
-8,3,48.61255612090255
-7,3,45.27594733909678
-6,3,41.60524002906548
-5,3,37.66689777628679
-4,3,33.48774490322423
-3,3,29.326794140501253
-2,3,25.572347334998184
-1,3,22.79910226153239
0,3,21.72210785349492
1,3,22.815532466205003
2,3,25.5878307216859
3,3,29.316177274886176
4,3,33.52987260219666
5,3,37.62363983024613
6,3,41.6698809738074
7,3,45.23123575901671
8,3,48.52956861268544
9,3,51.5459666353647
10,3,54.21038230801027
11,3,56.584522531489284
12,3,58.68747857196512
13,3,60.530498867889676
14,3,62.28392268804092
-14,4,62.6998512062014
-13,4,61.106534072868016
-12,4,59.170510283131115
-11,4,57.330248700063294
-10,4,55.00137456233415
-9,4,52.597954541569486
-8,4,49.881776163374376
-7,4,46.94290552101083
-6,4,43.6924842705338
-5,4,40.299687218201356
-4,4,36.84676350360221
-3,4,33.48170625883518
-2,4,30.64809545068739
-1,4,28.657722193399803
0,4,27.936368137483942
1,4,28.624915826615382
2,4,30.643907896241302
3,4,33.53783907599377
4,4,36.83371058453472
5,4,40.305412872761906
6,4,43.673742618661244
7,4,46.94051621946237
8,4,49.88139004408493
9,4,52.57280937094442
10,4,55.08287103706336
11,4,57.26742914006445
12,4,59.1875626836409
13,4,61.02370607299271
14,4,62.753039258619694
-14,5,63.24292659239661
-13,5,61.54939565882339
-12,5,59.954589913840984
-11,5,58.09430084465515
-10,5,56.04646985147428
-9,5,53.801712320083915
-8,5,51.38566534060912
-7,5,48.80877080472685
-6,5,45.97740414938333
-5,5,43.13141936957299
-4,5,40.30386061590761
-3,5,37.70468633436901
-2,5,35.49133834627749
-1,5,34.035654381477904
0,5,33.521258086344695
1,5,33.99806951052937
2,5,35.48073541204359
3,5,37.680104028426946
4,5,40.266614646283884
5,5,43.142469487884085
6,5,45.99206003839805
7,5,48.776127100601585
8,5,51.30178779462222
9,5,53.79290201341441
10,5,55.93710471627355
11,5,58.048963379710735
12,5,59.922371651523875
13,5,61.607925265381525
14,5,63.11187038509748
-14,6,63.573094991214276
-13,6,62.361191184397015
-12,6,60.64942568106861
-11,6,58.992501520832135
-10,6,57.210816542795385
-9,6,55.183919213759076
-8,6,52.96752804694833
-7,6,50.730666150476054
-6,6,48.35192894893174
-5,6,45.97814432056283
-4,6,43.690100307196616
-3,6,41.60218544439771
-2,6,39.98914998287564
-1,6,38.86135160175324
0,6,38.4819356333333
1,6,38.86392368148471
2,6,39.97128233139067
3,6,41.643828778447315
4,6,43.75080625204577
5,6,45.96690313899874
6,6,48.35701332892785
7,6,50.6919437737649
8,6,53.00948889958901
9,6,55.1338064473123
10,6,57.15948139393061
11,6,58.98513514588504
12,6,60.75037160831023
13,6,62.32032732323147
14,6,63.74711323901758
-14,7,64.38702482451332
-13,7,63.04403962715728
