delta_x,delta_y,eps_proxy
0,-6,0.3262189640756069
1,-6,0.29323418922658456
2,-6,0.2852605424806194
3,-6,0.26770997937141755
4,-6,0.24855504550193458
5,-6,0.2280418522666567
6,-6,0.19547596323677152
7,-6,0.1601748006531085
8,-6,0.09595578003318715
9,-6,0.172664198398015
10,-6,0.1837974127028356
11,-6,0.13644949799605444
12,-6,0.12501219729591534
13,-6,0.04044074084353627
14,-6,0.0
-14,-5,0.08396093111612898
-13,-5,0.03269952475034341
-12,-5,0.06767873907350995
-11,-5,0.0567347343190502
-10,-5,0.20818942569915302
-9,-5,0.16385101259105322
-8,-5,0.16648540805078516
-7,-5,0.19242308165854627
-6,-5,0.21907950872779247
-5,-5,0.24531499431536846
-4,-5,0.2442211671177257
-3,-5,0.30926655875125786
-2,-5,0.326029006466529
-1,-5,0.3684656525638974
0,-5,0.3575708168470162
1,-5,0.35666068619000296
2,-5,0.34794194604738565
3,-5,0.3028705350301248
4,-5,0.26223748272477104
5,-5,0.24737070655823468
6,-5,0.22704603631789402
7,-5,0.1724680954124748
8,-5,0.19978248966094217
9,-5,0.12550290326123226
10,-5,0.13504178964269384
11,-5,0.1702042029571506
12,-5,0.11843779337864242
13,-5,0.16349762375171709
14,-5,0.08396093111612898
-14,-4,0.07051631972965516
-13,-4,0.08103285130914456
-12,-4,0.15555794655530275
-11,-4,0.11427195992816032
-10,-4,0.1451085217832462
-9,-4,0.1547201718138178
-8,-4,0.18251719285685966
-7,-4,0.23330219073633812
-6,-4,0.25803075104892914
-5,-4,0.27074518731698693
-4,-4,0.3072187115178664
-3,-4,0.35321874933693775
-2,-4,0.39946992934449976
-1,-4,0.42575643812947417
0,-4,0.42281092834355116
1,-4,0.39441137752702865
2,-4,0.38746782831261695
3,-4,0.3447105604842962
4,-4,0.3103714691047088
5,-4,0.2772510790639755
6,-4,0.23543483782148056
7,-4,0.2399050829269892
8,-4,0.18921507149380865
9,-4,0.18186406160571567
10,-4,0.13631406591759493
11,-4,0.15998074389942443
12,-4,0.07070815752513762
13,-4,0.1350547521819076
14,-4,0.14103263945931033
-14,-3,0.12132222253060895
-13,-3,0.13755349400832073
-12,-3,0.12856209403248237
-11,-3,0.11451156849949638
-10,-3,0.13121625448343804
-9,-3,0.1955689606216197
-8,-3,0.21863122682756653
-7,-3,0.2456183579271587
-6,-3,0.3253184559450137
-5,-3,0.31114774219865
-4,-3,0.34625750391204924
-3,-3,0.41597483966348037
-2,-3,0.4653627565776933
-1,-3,0.4752295390824047
0,-3,0.47797789531502494
1,-3,0.47141753743201104
2,-3,0.4427667776166376
3,-3,0.38489305074902797
4,-3,0.34806227124442773
5,-3,0.3006131148932543
6,-3,0.2925606947561061
7,-3,0.25258625460594336
8,-3,0.32394748853108946
9,-3,0.3362028199450316
10,-3,0.16402031810429754
11,-3,0.1399585837216067
12,-3,0.15193702022020641
13,-3,0.13755349400832073
14,-3,0.060661111265304477
-14,-2,0.10690452386595752
-13,-2,0.1012153271017585
-12,-2,0.12001309652646802
-11,-2,0.15689951520986062
-10,-2,0.19932836009724747
-9,-2,0.22362866398876297
-8,-2,0.22009717998022907
-7,-2,0.22064600689071037
-6,-2,0.329217223183893
-5,-2,0.3390583218929843
-4,-2,0.37726604243551654
-3,-2,0.4487733036695764
-2,-2,0.45721424904061925
-1,-2,0.5116653119671201
0,-2,0.5125332921550059
1,-2,0.5099419805234457
2,-2,0.4849648431272453
3,-2,0.4431958151918475
4,-2,0.38326709295145794
5,-2,0.3375777178672507
6,-2,0.2902972454778695
7,-2,0.29822798995873434
8,-2,0.4008912921068458
9,-2,0.4047494001118933
10,-2,0.2242444051094034
11,-2,0.1460788589884909
12,-2,0.14001527928087937
13,-2,0.0607291962610551
14,-2,0.16035678579893628
-14,-1,0.14457725750951028
-13,-1,0.18294309007559145
