theta_deg,phi_deg,AOmega_MC_cm2sr,AOmega_analytic_cm2sr,ratio_MC_over_analytic
5.000000000000001,-142.5,0.8962662921470541,0.8946139687574256,1.0018469680189808
5.000000000000001,-137.5,0.8959092423931865,0.894193685766353,1.001918551488499
5.000000000000001,-132.5,0.8959806523439592,0.894193685766353,1.0019984110892872
5.000000000000001,-127.50000000000001,0.8966233419009126,0.894613968757421,1.0022460784356884
5.000000000000001,-122.50000000000001,0.8973612447255676,0.8954519641103331,1.0021321976965356
5.000000000000001,-117.5,0.8982419674517584,0.8967025310498624,1.0017167749042635
5.000000000000001,-112.5,0.8999320029533769,0.8983579601973941,1.0017521331426027
5.000000000000001,-107.5,0.9016220384549954,0.9004079773029413,1.0013483456196053
5.000000000000001,-102.50000000000001,0.9040023701474182,0.9028397508076729,1.0012877361001278
5.000000000000001,-97.5,0.9062398819382911,0.9056379053253644,1.0006646990031964
5.000000000000001,-92.5,0.9096199529415303,0.9087845434978551,1.0009192601807022
5.000000000000001,-87.5,0.9098341827938458,0.9087845434978526,1.0011549924605376
5.000000000000001,-82.50000000000001,0.9070968013475648,0.9056379053253668,1.0016109043290031
5.000000000000001,-77.5,0.9043594199012789,0.9028397508076705,1.0016832102178141
5.000000000000001,-72.5,0.9023361379627239,0.9004079773029438,1.0021414300054912
5.000000000000001,-67.5,0.8999320029533769,0.8983579601973941,1.0017521331426027
5.000000000000001,-62.50000000000001,0.8980753442332914,0.8967025310498647,1.0015309571857898
5.000000000000001,-57.5,0.8969803916547756,0.8954519641103285,1.0017068783203416
5.000000000000001,-52.50000000000001,0.8964567186824445,0.8946139687574224,1.0020598269078915
5.000000000000001,-47.5,0.8955045860054763,0.8941936857663544,1.0014660137506992
5.000000000000001,-42.5,0.8952903561531584,0.8941936857663544,1.0012264349483346
