theta_x_deg,theta_y_deg,counts
-15.463923301636038,3.436427400363563,17
-15.463923301636038,6.872854800727126,19
-15.463923301636038,10.309282201090689,21
-15.463923301636038,12.02749590127247,26
-15.463923301636038,15.463923301636033,18
-15.463923301636038,18.9003507019996,18
-15.463923301636038,22.336778102363162,15
-15.463923301636038,24.054991802544944,7
-15.463923301636038,27.49141920290851,14
-15.463923301636038,29.209632903090288,9
-15.463923301636038,32.64606030345386,6
-15.463923301636038,34.364274003635636,5
-15.463923301636038,36.082487703817414,4
-15.463923301636038,37.8007014039992,1
-12.027495901272475,-36.08248770381742,4
-12.027495901272475,-34.36427400363564,1
-12.027495901272475,-32.64606030345386,4
-12.027495901272475,-29.209632903090295,4
-12.027495901272475,-27.49141920290851,4
-12.027495901272475,-24.054991802544947,11
-12.027495901272475,-22.33677810236317,7
-12.027495901272475,-18.900350701999603,18
-12.027495901272475,-15.463923301636038,13
-12.027495901272475,-12.027495901272475,10
-12.027495901272475,-10.309282201090694,19
-12.027495901272475,-6.872854800727129,10
-12.027495901272475,-3.4364274003635664,15
-12.027495901272475,-3.552713678800501e-15,22
-12.027495901272475,3.436427400363563,19
-12.027495901272475,6.872854800727126,15
-12.027495901272475,10.309282201090689,27
-12.027495901272475,12.02749590127247,14
-12.027495901272475,15.463923301636033,16
-12.027495901272475,18.9003507019996,17
-12.027495901272475,22.336778102363162,17
-12.027495901272475,24.054991802544944,7
-12.027495901272475,27.49141920290851,21
-12.027495901272475,29.209632903090288,12
-12.027495901272475,32.64606030345386,7
-12.027495901272475,34.364274003635636,8
-12.027495901272475,36.082487703817414,3
-12.027495901272475,37.8007014039992,2
-10.309282201090694,-36.08248770381742,2
-10.309282201090694,-34.36427400363564,3
-10.309282201090694,-32.64606030345386,4
-10.309282201090694,-29.209632903090295,4
-10.309282201090694,-27.49141920290851,2
-10.309282201090694,-24.054991802544947,7
-10.309282201090694,-22.33677810236317,11
-10.309282201090694,-18.900350701999603,14
-10.309282201090694,-15.463923301636038,13
-10.309282201090694,-12.027495901272475,15
-10.309282201090694,-10.309282201090694,24
-10.309282201090694,-6.872854800727129,30
-10.309282201090694,-3.4364274003635664,19
-10.309282201090694,-3.552713678800501e-15,31
-10.309282201090694,3.436427400363563,26
-10.309282201090694,6.872854800727126,25
-10.309282201090694,10.309282201090689,30
-10.309282201090694,12.02749590127247,20
-10.309282201090694,15.463923301636033,25
-10.309282201090694,18.9003507019996,21
-10.309282201090694,22.336778102363162,25
-10.309282201090694,24.054991802544944,21
-10.309282201090694,27.49141920290851,15
-10.309282201090694,29.209632903090288,14
-10.309282201090694,32.64606030345386,9
-10.309282201090694,34.364274003635636,3
-10.309282201090694,36.082487703817414,3
-6.872854800727129,-36.08248770381742,4
-6.872854800727129,-34.36427400363564,2
-6.872854800727129,-32.64606030345386,5
-6.872854800727129,-29.209632903090295,7
-6.872854800727129,-27.49141920290851,8
-6.872854800727129,-24.054991802544947,15
-6.872854800727129,-22.33677810236317,10
-6.872854800727129,-18.900350701999603,15
-6.872854800727129,-15.463923301636038,17
-6.872854800727129,-12.027495901272475,17
-6.872854800727129,-10.309282201090694,23
-6.872854800727129,-6.872854800727129,16
-6.872854800727129,-3.4364274003635664,24
-6.872854800727129,-3.552713678800501e-15,28
-6.872854800727129,3.436427400363563,28
-6.872854800727129,6.872854800727126,24
-6.872854800727129,10.309282201090689,26
-6.872854800727129,12.02749590127247,21
-6.872854800727129,15.463923301636033,18
-6.872854800727129,18.9003507019996,22
-6.872854800727129,22.336778102363162,25
-6.872854800727129,24.054991802544944,10
-6.872854800727129,27.49141920290851,16
-6.872854800727129,29.209632903090288,9
-6.872854800727129,32.64606030345386,12
-6.872854800727129,34.364274003635636,3
-6.872854800727129,36.082487703817414,6
-6.872854800727129,37.8007014039992,1
-3.4364274003635664,-36.08248770381742,3
-3.4364274003635664,-34.36427400363564,4
-3.4364274003635664,-32.64606030345386,4
-3.4364274003635664,-29.209632903090295,10
-3.4364274003635664,-27.49141920290851,13
-3.4364274003635664,-24.054991802544947,8
-3.4364274003635664,-22.33677810236317,15
-3.4364274003635664,-18.900350701999603,8
-3.4364274003635664,-15.463923301636038,16
-3.4364274003635664,-12.027495901272475,25
-3.4364274003635664,-10.309282201090694,24
-3.4364274003635664,-6.872854800727129,22
-3.4364274003635664,-3.4364274003635664,32
-3.4364274003635664,-3.552713678800501e-15,28
-3.4364274003635664,3.436427400363563,25
-3.4364274003635664,6.872854800727126,31
-3.4364274003635664,10.309282201090689,29
-3.4364274003635664,12.02749590127247,21
-3.4364274003635664,15.463923301636033,24
-3.4364274003635664,18.9003507019996,14
-3.4364274003635664,22.336778102363162,24
-3.4364274003635664,24.054991802544944,18
-3.4364274003635664,27.49141920290851,15
-3.4364274003635664,29.209632903090288,13
-3.4364274003635664,32.64606030345386,18
-3.4364274003635664,34.364274003635636,3
-3.4364274003635664,36.082487703817414,4
-3.4364274003635664,37.8007014039992,2
-3.552713678800501e-15,-34.36427400363564,3
-3.552713678800501e-15,-32.64606030345386,6
-3.552713678800501e-15,-29.209632903090295,8
-3.552713678800501e-15,-27.49141920290851,7
-3.552713678800501e-15,-24.054991802544947,15
-3.552713678800501e-15,-22.33677810236317,13
-3.552713678800501e-15,-18.900350701999603,17
-3.552713678800501e-15,-15.463923301636038,29
-3.552713678800501e-15,-12.027495901272475,17
-3.552713678800501e-15,-10.309282201090694,23
-3.552713678800501e-15,-6.872854800727129,27
-3.552713678800501e-15,-3.4364274003635664,33
-3.552713678800501e-15,-3.552713678800501e-15,34
-3.552713678800501e-15,3.436427400363563,32
-3.552713678800501e-15,6.872854800727126,37
-3.552713678800501e-15,10.309282201090689,23
-3.552713678800501e-15,12.02749590127247,15
-3.552713678800501e-15,15.463923301636033,21
-3.552713678800501e-15,18.9003507019996,27
-3.552713678800501e-15,22.336778102363162,18
-3.552713678800501e-15,24.054991802544944,18
-3.552713678800501e-15,27.49141920290851,18
-3.552713678800501e-15,29.209632903090288,13
-3.552713678800501e-15,32.64606030345386,7
-3.552713678800501e-15,34.364274003635636,6
-3.552713678800501e-15,36.082487703817414,6
-3.552713678800501e-15,37.8007014039992,1
3.436427400363563,-36.08248770381742,3
3.436427400363563,-34.36427400363564,8
3.436427400363563,-32.64606030345386,6
